RUN,EXIT,SCHEMAS,POLICIES,PREDICATES,TABLES
1,0,3,3,1680,600
2,0,3,3,1680,600
3,0,3,3,1680,600
4,0,3,3,1680,600
5,0,3,3,1680,600
6,0,3,3,1680,600
7,0,3,3,1680,600
8,0,3,3,1680,600
9,0,3,3,1680,600
10,0,3,3,1680,600
